Dnr,ProjektTitelSv,SammanfattningSv,Formas1,Formas2,Kateg1,Kateg2,Kateg3
2016-00340,Den nya urbana utmaningen? Hållbara välfärdsmodeller i de svenska storstäderna,"Stort hopp ställs till staden som urban arena för att hantera komplexa social, ekonomiska och miljömässiga samhällsutmaningar. Trots samtida trender av urbanisering och decentralisering, har begränsad uppmärksamhet ägnats åt hur städer kan gå bortom och integrera tillväxt- och sysselsättningsparadigm med ekologiska hållbarhetsparadigm för att utveckla hållbara och socialt inkluderande samhällen, något vi här beskriver som modeller för urban hållbar välfärd. Det övergripande syftet med projektet är att analysera modeller för hållbar välfärd på urban nivå och de konflikter och synergier sådana modeller kan ge upphov till. I projektet kommer vi att undersöka samspelet mellan samhällsstyrning för social integration och för ekologisk hållbarhet i urbana miljöer. I vilken utsträckning kan vi skönja integrerade eko-sociala policyinsatser i svenska storstäder? Vilka strategier för urban hållbar välfärd utvecklas bland olika samhällsaktörer? Vilka idéer, uppfattningar och visioner om en urban hållbar välfärd ger medborgare uttryck för? Vilka faktorer hindrar eller möjliggör uppkomsten av modeller för urban hållbar välfärd, t.ex. strukturella och kulturella faktorer, lokala prioriteringar eller makt- och aktörsrelationer? Dessa frågor kommer att besvaras på grundval av jämförande fallstudier i de tre svenska storstäderna Stockholm, Göteborg och Malmö, som i internationell jämförelse utmärker sig för både sina avancerade välfärdssystem och progressiva miljöpolitik.Teorier om stadspolitik och urban samhällsstyrning, välfärdspolitik och miljöpolitisk styrning samt kritisk planeringsteori bildar utgångspunkt för att utveckla ett analytiskt ramverk för att konceptualisera hållbar välfärd för urbana studier. De empiriska analyserna kommer att kretsa kring tre integrerade tematiska studier: I) urbana eko-sociala policys och samhällsstyrning; II) aktörers intressen, positioner och strategier kring modeller för urban hållbar välfärd; och III) medborgares visioner av hållbar välfärd på urban nivå. I projektet kommer vi att använda olika typer av material/data och metoder (t.ex. enkäter, intervjuer, observationer, media- och diskursanalys) och involvera aktörer på stadsnivå, såsom lokala politiker, tjänstemän, arbetsmarknadens parter, civilsamhällets organisationer och medborgare. Projektet genomförs av en grupp forskare inom samhällsvetenskap och miljösystemanalys vid Lunds universitet och i nära samarbete med lokala intressentgrupper i de aktuella ",11,,NULL,(tom),(tom)
2016-00344,Mikro-urbanisering och mobilitet i norra Sveriges glesbygd: utmaningar och möjligheter för små samhällen,"Medan andra delar av världen och Sverige snabbt urbaniseras har den Norrländska gles- och landsbygd under en lång tid sett betydande befolkningsminskning. Denna utveckling har detaljerat studerats och diskuterats och det är numera välkänt att ekonomisk förändring på makronivå har geografiska utfall på lokal och regional nivå avseende koncentration och spridning av befolkningen. Mindre beforskat är att det också förekommer inflyttning och omflyttning inom de glesa och perifera norra delarna av Sverige. Detta projekt kommer att ge ett viktigt bidrag till kunskapen om detta genom att studera och jämföra egenskaper, motivation, rörlighetsmönster och lokala effekter av flera olika typer av rörligheter som kollektivt påverkar det regionala befolkningsmönstret. Den teoretiska ramen för projektet integrerar perspektiv från den växande litteraturen om inflyttning till gles- och landsbygd, med rumsliga modeller för befolkningskoncentration och distribution, samt inbegriper relationella perspektiv på landsbygdens platser och samhällen. Exempel på inflyttning och intern migration är att rörlighet inom området eller regionala migrationsströmmar från små byar till kommuncentra kan ha ökat till följd av bättre bostäder, jobb eller service. Samtidigt kan nationell och internationell livsstilsrelaterad rörlighet och kontra-urban migration ha skett till mer avlägsna platser i sökandet efter andra värden och med rekreationsdrivna migrationsmotiv. Därutöver finns en strid ström asylsökande och flyktingar som koncentreras på platser som har bostäder och servicekapacitet. Beskrivna rörligheter kan vara av permanent eller tillfällig karaktär, den kan vara säsongsmässig eller utgöras av långpendling mellan flera bostäder men har oavsett detta stor påverkan på befolkningen och ekonomin. Vilken betydelse har dessa väldigt olika rörliga befolkningar för utveckling och befolkningsspridning/ och mikro-urbanisering i Sveriges norra delar? Projektet närmar sig frågorna från både ett makroperspektiv, (genom statistisk analys och GIS), och ett mikroperspektiv (genom fördjupade fallstudier i valda kommuner), och bidrar därmed till en mer holistisk och integrerad analys av omfattningen och arten av förändringar på en bredare regional nivå, samt underliggande orsaker och konsekvenser på en lokal nivå. Projektet kommer att öka medvetenheten och kunskapen om dessa rörligheter bland akademiker, kommuntjänstemän, organisationer och andra intressenter för dessa frågor.",11,,NULL,(tom),(tom)
2016-00345,Misstänksamhetens materialitet: Urbana landskap i Nigeria och Egypten,"Misstänksamhet är en viktig social kraft i det urbana Afrika och ett hinder för ekonomisk utveckling, demokratiska processer och en socialt hållbar utveckling. Detta projekt riktar sin analys till Kairo och Port Said i Egypten och Jos och Port Harcourt i Nigeria, där misstänksamhet har antagit en avgörande betydelse för urbana erfarenheter. Afrikanska städer skildras ofta antingen genom narrativ om snabb ekonomisk tillväxt, eller ""allt som kan gå fel med urbanism"". Mer och mer forskning betonar istället hur afrikanska städer formas utifrån sin egen unika dynamik. Livet präglas av pluralitet, motsägelser och stor osäkerhet, vilket försätter invånarna i ett tillstånd av konstant experimenterande. Projektet startar sin analys i de oroskänslor som uppstår i dessa ögonblick av obestämbarhet, särskilt hur föreställningar om illvilliga krafter genomsyrar det f",11,,NULL,(tom),(tom)
2016-00349,Konflikthantering i stadsplanering: Betydelsen av kunskapsintegrering för flernivåstyrning,"Syftet med forskningsprojektet är att identifiera möjliga sätt att förbättra konflikthantering på kommunal nivå och bidra till en mer hållbar stadsplanering genom att undersöka samband mellan konflikthantering och kunskapsintegrering på fleranivåstryning inom stadsplanering. Forskningsprojektet kommer studera vilka kunskapstyper som används vid konflikthanteringsprocesser i kommunal stadsplanering och vilka konsekvenser detta har för konfliktutvecklingen, samt sambanden mellan horisontell/vertikal kunskapsintegrering och konflikthantering i stadsplaneringen. Horisontell integrering sker bland intressenter i formella konflikthanteringsprocesser (t.ex. offentliga samråd) samt i informella processer (t.ex. öppna forum för intressenter). Vertikal integrering sker när olika kunskapstyper används i beslutsfattandet och policy formulering på kommunal och regional nivå. Studien baseras på tre fallstudier av aktuella och starkt ifrågasatta konflikter inom markanvändning i Göteborg (Sverige): förtätning i ett centralt beläget område (Älvstaden), bostäder till nyanlända i Göteborg, samt transport- och infrastrukturplanering (Västlänken). Analysen bygger på deltagande observation, dokumentanalys, djupintervjuer och transdisciplinär samverkan med intressenter i konflikt så som tjänstemän och andra utövare. Projektet har utformats i samverkan med tjänstemän och andra intressenter, som också kommer att delta aktivt i hela forskningsprocessen, särskilt vid formuleringen och tillämpningen av nya metoder för konfliktlösning i Göteborg.  De frågor som tas upp i de tre ovan nämnda fallstudierna är typiska för stadsplanering och kommer därför att vara av relevans för planeringssammanhang även utanför Sverige. Resultat från detta projekt kommer att ha en bred betydelse för den akademiska världen samt utövare som är intresserade av: kunskapsanvändning i miljö och stadsplanering, konflikthantering och tvärvetenskapliga studier av hållbarhet.",11,,NULL,(tom),(tom)
2016-00350,"Urbaniseringens dynamik: markanvänding, livsmedelsförsörjning och uthållig jordbruksproduktion inom arida och semi-arida områden","Markanvändning, jordbruksproduktion och livsmedelsförsörjning påverkas av dynamiken i ett stadssystem. Frågan är hur dessa delsystem relaterar till och är sammanlänkade i förhållande till pågående urbanisering. Vi studerar anpassningsförmåga och förändringar inom dessa delsystem i relation till urbanisering inom två olika klimat- och odlingsmiljöer med fokus på Afrika och Asien. De specifika urbana systemen kommer att vara ""Kairo"" i den egyptiska torra zonen och ""Hyderabad"" i den indiska halvtorra zonen. Vi undersöker och jämför variationer i odlingsmiljöer; institutionella variationer (komplex övergång till demokrati kontra stabil demokrati); och regionala variationer (Sydasien vs MENA). Ett ramverk kring resiliens (”resilience”) utvecklas för att förstå hur en snabb urban utbredning orsakar förändringar i markanvändning och konkurrerande användning av naturresurser, och hur anpassningsförmågan inom jordbrukets produktionssystem påverkas av urbaniseringen och då särskilt förmågan att organisera, koordinera, lära från- och absorbera förändringar. Vidare undersöks hur städernas livsmedelsförsörjning anpassas till ökad urbanisering. Projektet skapar förståelse kring hur växande stadssystem generar innovationer och identifierar nya möjligheter till resursanvändning. Detta leder till en ökad förståelse kring relationen mellan markanvändning, jordbruksproduktion och livsmedelsförsörjning och ökar vår förståelse för hur de utmaningar som urbaniseringen medför kan mötas.",11,2,NULL,(tom),(tom)
2016-00351,Bedömning av hur läckage påverkar effekterna av hållbarhetsinitiativ för de globala tillförselkedjorna för jordbruksvaror,"Det finns ett utbrett antagande att frivilliga hållbarhetsåtaganden av producenter, handlare, återförsäljare och konsumenter i form av t.ex. produktcertifiering av globala jordbruksprodukter, kan bidra till minskad skogsskövling i tropiska länder. Men detta antagande är fortfarande, i stor utsträckning, inte vetenskapligt testat. Det råder fortfarande stora osäkerheter kring risken för läckage, det vill säga att miljöpåverkan flyttar från de områden som är specifika mål för minskad avskogning, till områden utanför. Målet med detta projekt är att genomföra en första systematisk bedömning av risken för läckage av avskogning och relaterad miljöpåverkan, till följd av att jordbruksexpansion förskjuts till andra regioner eller att importländer importerar från områden med lägre miljökrav. Vi fokuserar på sydamerikansk nötkötts- och sojaproduktion, två jordbruksprodukter som båda är starkt kopplade till avskogning i regionen. Förflyttningen av brasiliansk sojaexpansion från Amazonas till Cerrado, samt ny expansion i Paraguay och Bolivia, indikerar att detta fenomen redan pågår. Projektet kommer att resultera i robusta, kvantitativa uppskattningar av läckage genom att kombinera ny data för produktion och handel av jordbruksvaror med en nyutvecklad materialflödesmodell, som för första gången länkar producenter på regional nivå till specifika handlare, återförsäljare och konsumentländer. Projekter har fyra sammanlänkade delmål; i) att kartlägga hur konsumenter, kött- och sojahandlare är kopplade till olika produktionsregioner i Sydamerika, och hur dessa kopplingar förändras över tid, ii) att kvantifiera de miljöeffekter som kan relateras till dessa produktionskedjor för att sedan bedöma resulterande miljöpåverkan av handlare och konsumentländer, iii) bygga vidare på kunskapen om processer och miljöpåverkan relaterade till kött- och sojaproduktionskedjor för att bättre bedöma risken för läckage genom förändrade handelsmönster som ett resultat av insatser för mer hållbara produktionskedjor, iv) identifiera vad som krävs för att minimera risken för läckage och bidra till minskad avskogning, genom en deltagandeprocess där regionala och lokala myndigheter, odlare, handlare och andra nyckelaktörer kommer inkluderas. Detta forskningsinitiativ kommer bidra till en ny plattform för att stödja beslutsfattare i implementering och uppföljning av existerande initiativ och åtaganden för minskad avskogning. ",15,2,NULL,(tom),(tom)
2016-00352,"Städer i Norr: Urbanisering, mobiliteter och nya utvecklingsmöjligheter I glest befolkade inlandsområden","Snabb urbanisering i glest befolkade nordliga periferier har varit ett vanligt fenomen i många utvecklade länder, bland andra Sverige, USA och Australien, där ett fåtal nordliga städer har vuxit väsentligt senaste decennierna medan många landsbygdsområden har deklinerat både ekonomiskt och befolkningsmässigt. Idag saknas förståelse för hur dessa ’städer i norr’ skulle kunna bidra till framtida utveckling i det glesbefolkade inlandet. Projektet kommer att jämföra olika ’städer i norr’ och omfatta Umeå i Västerbotten, Anchorage i Alaska (USA) och Darwin i Australiens Northern Territory. Forskningen kommer att undersöka hur urban tillväxt har påverkat den mänskliga mobiliteten mellan stad och landsbygd och hur dessa ’mobiliteter’ bidrar till utvecklingen av mänskligt-, ekonomiskt-, socialt och kulturellt kapital. Den mänskliga rörligheten är en kritisk faktor i att mobilisera kunskap, arbete, färdigheter och kapital, och förändrade mobiliteter för sådant som arbete, boende och fritid har varit ett kännetecken för nordlig ekonomisk geografi de senaste decennierna. Forskningen kommer att ske under fem år och involvera en kombination av kvantitativa och kvalitativa metoder. Den kommer att undersöka föränderliga mobilitetsmönster som rör ’städer i norr’ genom sekundärbefolkningsdatakällor och identifiera hur särskilda ekonomiska- och regionala utvecklingspolicyer kan ha påverkat mobilitetsmönstren. Projektet kommer sedan att fokusera på ett flertal fallstudier rörande landsbygdssamhällen för att förstå hur mobiliteter kan ha påverkat nya investeringar, kunskapsöverföring och socialt- och kulturellt kapital. Erfarenheter mellan de tre jurisdiktionerna kommer att jämföras med syfte att förbättra förståelsen för ’städer i norr’, mobiliteter och deras betydelse för nordlig utveckling. Resultatet är av betydelse för policyskapare, akademiker och samhällen intresserade av ekonomisk-  eller demografisk utveckling i det glest befolkade norr, både i Sverige och internationellt.",11,,NULL,(tom),(tom)
2016-00353,Främja hållbara matvanor genom optimerade skolmåltider,"Svenska skolmåltider erbjuder en unik möjlighet att främja miljöansvar och minska miljöpåverkan bland barn och unga. Detta forskningsprojekt syftar till att bidra till hållbara matvanor bland framtida generationer. Det har potential att nå alla skolbarn i Sverige och kan därför få en enorm praktisk betydelse. Enligt vårt vetande är detta den första studien som syftar till att utveckla en holistisk modell för en hälsofrämjande, prisvärd, och acceptabel skolmåltidsplan, som är optimerad ur ett miljöperspektiv dvs utsläpp av växthusgaser. Projektet har utformats som ett samarbete mellan tre pågående projekt och består av fyra delstudier som tillsammans kommer att svara på forskningsfrågan: Hur kan skolmåltider förbättras ur ett miljö-, närings- och kostnadsperspektiv samtidigt som måltiderna är acceptabla för barn, och därmed leda till minskat svinn? Bedömning av matvanor bland ett representativt urval av 3000 svenska skolbarn och i relation till måltidskvalitet. En nyutvecklad webbaserad 24 timmars recall applikation används och kompletteras med en webbenkät rörande demografi, hälsa, kosttillskott och livsmedelsfrekvenserer. Barnen uppmanas att upprepa recallen i hemmet efter 2-7 dagar. Skolmåltidskvalitet kommer att bedömas med verktyget SkolmatSverige i samma skolor under samma period. Framtagning av en ny modul i SkolmatSverige för att monitorera lunchkonsumtion och svinn på skol- och kommunnivå, vilket ger värdefull information om matpreferenser och svinn på aggregerad nivå. En linjär programmeringsmodell för optimering av menyplaner ur miljöperspektiv, som samtidigt tar hänsyn till näringsinnehåll, kostnad och acceptans bland barnen och med relevans för ett svenskt kontext. Baserat på dessa resultat tas konkreta menyer fram, som testas för acceptans bland barn och kostnad för kommunen. Lärare, elever och kökspersonal intervjuas för att undersöka deras syn på hållbarhet och vilja att vara en del av en hållbar lösning för livsmedelssektorn. Intervjuer analyseras med innehållsanalys. Elevernas matvanor kommer åter att mätas.&lt;/li&gt;&lt;/ol&gt;Utifrån dessa resultat tas generella riktlinjer för hållbara skolmåltider fram. Detta projekt kan bidra till att uppfylla Sveriges åtaganden för hållbar utveckling inom livsmedelssektorn och fungera som en förebild för andra länder.",2,,NULL,(tom),(tom)
2016-00361,Äta insekter – en smaklig lösning på dagens globala problem.,"Syftet med detta projekt är att utveckla ett nytt svenskt, välsmakande, protein- och mineralrikt livsmedel baserat på hussyrsa (Acheta domesticus). Projektet fokuserar på att utveckla en hållbar metod att producera foder, föda upp syrsor och göra goda, livsmedelssäkra ”svenska” maträtter av dem. Produktionen förväntas resultera i ökad biologisk mångfald, låg klimatpåverkan, effektivt nyttjande av mark- och vattenresurser samt en djurhållning med få etiska problem. Det här projektet kommer att bidra till FNs mål för biologisk mångfald (UN Aichi biodiversity targets) samt åtta av FNs sjutton globala mål för hållbar utveckling.En framtida global utmaning är hur åkermark skall användas så att det både gynnar biologisk mångfald och ger tillräckligt med livsmedel och andra produkter. I Sverige minskar den biologiska mångfalden framförallt i landskap där blommande örter tidigare funnits. Vår hypotes är att den svenska hussyrsan har en effektiv foderomvandling jämfört med andra livsmedelsproducerande djur och att den kan utfodras med rödklöver och andra blommande växter så att foderproduktionen kan bidra till en ökad biologisk mångfald. Vi kommer att studera hur den biologiska mångfalden påverkas där rödklöver odlas och hur syrsorna klarar av att växa på rödklöver men också andra blommande växter som kan ha ett värde för vilda insekter men som i dagsläget inte odlas kommersiellt. Vi kommer att studera hur olika foder, och hur de konserverats, påverkar tillväxt, foderomvandlingsförmåga, näringsinnehåll och smaken på syrsorna. Vi kommer också att studeras syrsornas vattenbehov. Tillsammans med en kock kommer vi att ta fram en barnvänlig och en exklusiv maträtt baserad på hussyrsa. Kunskapen kring vilka livsmedelshygieniska risker som finns med uppfödning av syrsor är liten och vi kommer därför att göra mikrobiologiska analyser och en riskvärderingsanalys. Via uppfödningen av hussyrsor som foder till zoodjur vet vi att hussyrsan kan drabbas av en dödlig virussjukdom. Vi kommer undersöka om detta virus finns hos den vilda, svenska hussyrsan. Om de är förhållandevis fria från detta virus finns det ett kommersiellt värde för Sverige i att ta fram en virusfri stam för livsmedelsproduktion.Det här är ett unikt, holistiskt projekt som kan bli starten för en ny svensk primärproduktion men också utgöra en konceptuell modell i ett internationellt perspektiv.",2,15,NULL,(tom),(tom)
2016-00364,Citymygg: Urban djurhållning och vektorburna sjukdomar i växande tropiska städe r-  hållbara kontrollmetoder för framtiden och risker för spridning till Sverige,"Idag bor mer än hälften av jordens befolkning i städer, och de växande städerna innehåller inte bara en hög densitet människor, utan även boskap. Djurhållning i städer är viktig för att tillhandahålla färska animalieprodukter och betyder mycket som inkomstmöjlighet för många fattiga i städerna. Även skadedjur såsom gnagare och myggor kan öka till följd av den urbana djurhållningen och kan bära på sjukdomar som de överför till djur eller människor. Resande kan föra med sig sjukdomar som sedan sprids bland myggorna som redan finns i staden, eller ta med sig sjukdomar när de reser tillbaka.För att bättre förstå hur djurhållning i städer fungerar och vad befolkning och beslutshavare anser om det, kommer vi att studera två städer i Asien: Guwahati i Indien och Hanoi i Vietnam. Vi kommer här att besöka slumpmässigt utvalda hushåll och samla in både myggor och gnagare för att se hur djurhållningen påverkar epidemiologin hos vektorburna sjukdomar. Med fokus på myggburna virus, framförallt flavivirus, såsom Denguevirus och Zikavirus, så kommer myggorna analyseras med en ny multiplex PCR vi kommer att utveckla inom projektet. Blodprover från djuren undersöks för seroprevalens med en luminex-baserad metod för att detektera antikroppar mot flera virus samtidigt. Ägarna till dessa hushåll, besökare i städerna och gravida kvinnor, en riskkategori, kommer intervjuas för att studera deras kunskap om risker och fördelar med urban djurhållning, liksom kunskap och prevention mot vektorburna och zoonotiska sjukdomar. Eftersom det cirkulerar flera möjliga patogener i städerna är det vanligt att patienter inte får en definitiv diagnos. Patienter med feber av okänd anledning kommer undersökas med avseende på vektorburna sjukdomar. Dessa patienter intervjuas också för att hitta risk faktorer och deras hushåll besöks för att studera vektorförekomst och kontakt med djur.Genom att studera metoder som har testats för att minska myggor och spridning av sjukdomar tidigare, identifierar vi kostnadseffektiva och miljövänliga metoder som kan fungera i stadsmiljö och genomför en pilotstudie för att studera effekten.Detta projekt kommer bidra till förståelsen för den ekonomiska betydelsen av urban djurhållning liksom risker för vektorburna sjukdomar, samt ge vägledning både till lokala beslutsfattare och till sjukvårdspersonal. Dessutom kommer projektet att bidra till en bedömning av risken för spridning av sjukdomar till svenska städer.",3,2,NULL,(tom),(tom)
2016-00365,Brunalger som fodertillstott till kycklingar- för en hållbar produktion och säkrare konsumtion,"I takt med att världens befolkning ökar, ökar konsumtionen av fågelkött i snabb takt och fågelkött är skattat att bli det vanligaste köttslaget år 2020. För att klara möta den ökande efterfrågan på ett hållbart sätt måste alla delar av produktionen optimeras. Detta behöver göras på samma gång som antibiotikaanvändningen minskar. Alger och algprodukter har föreslagits som ett potentiellt fodertillskott att använda som ett alternativ till antibiotika tack vare dess prebiotiska, immunstimulerande och antibakteriella egenskaper. Men som för många fodertillskott är de underliggande mekanismer till de observerade hälsofrämjande egenskaperna till stor del okända. Syftet med detta projekt är att utvärdera brunalger och algprodukter som odlas på Sveriges västkust som ett nytt fodertillskott inom kycklingproduktionen. Målsättningen är att öka förståelsen för olika bioaktiva substansers funktion samt hur dessa kan påverka djurets hälsa. Förbättra hälsa och produktion hos kycklingar genom att stödja utveckling av mag-tarmkanal och immunsystem hos unga kycklingar. Minska kassaktioner på slakterier orsakade av underhudsinflammationer genom att minska förekomsten av E.coli i träck och stöbädd, vilket är en riskfaktor för utveckling av underhudsinflammationer. Förbättra livsmedelssäkerheten genom att minska förekomsten av Campylobacter. Projektet kommer att delas in i fyra arbetsområden (WP). I WP1 kommer alger och algprodukters innehåll av bioaktiva substanser och polysackarider samt hur dessa bryts ner att utvärderas i en in vitro modell. De mest lovande produkterna med avseende på prebiotisk och antibakteriella egenskaper kommer väljas ut och användas i WP2, WP3 and WP4. I WP2 utvärderas möjligheten att genom att utfodra hönor med algproduker förbättra överföring av antikroppar och viktiga näringsämnen till ägget. I WP3 studeras effekter av att ge kycklingar algprodukter antingen genom ägget via utfodring av hönan, eller genom att ge tillskott i fodret under dess första levnadsdagar, eller både genom ägget och i fodret. I WP4 utvärderas algprodukter i en infektionsmodell med Campylobacter, samt de mest lovande produkterna testas på fältstudier på ekologiska kycklinggårdar. Resultaten från detta projekt förväntas bidra med en ökad förståelse and bättre användning av algprodukter som fodertillskott vilket i sin tur kan leda till en förbättrad produktion, m",2,,NULL,(tom),(tom)
2016-00371,Klimatpolitikens för urbana hushåll – Attityder och betydelse ,"En av utmaningarna med den ökade urbaniseringen är nybyggande och renovering av befintliga byggnader och att samtidigt nå mål för energieffektivitet, minskade CO2-utsläpp, användning av förnybara energikällor samt socioekonomiska mål för större välfärd och teknisk utveckling. Samtidigt finns det en risk för att urbana hushåll blir mindre men mer energikrävande. Urbaniseringen innebär också en möjlighet för utvecklade regioner att bli ledande inom innovation och styrning på det sociala, tekniska och ekonomiska planet. Minskad energianvändning och CO2-utsläpp för byggnader är också ett viktigt politiskt mål för EU. Detta har manifesterats i ett flertal EU-direktiv vilka har visat sig ha olika stora effekter på energieffektivitet och energiefterfrågan i olika EU-länder. En analys av drivkrafterna bakom sådana skillnader i energieffektivitet och efterfrågan mellan EU-länder kan ge lärdomar om vilka politiska åtgärder som är mest lämpade för varje stad eller region. Detta projekt syftar till att göra en sådan tvärvetenskaplig analys som omfattar tekniska, beteendemässiga och ekonomiska synsätt. Resultat som ger förståelse till drivkrafterna bakom efterfrågan på energi kan sedan användas i utformningen av energipolitik mot en hållbar urbanisering.Projektet har två inriktningar. Först kommer vi att undersöka beteendemässiga, ekonomiska och politiska krafter som förklarar skillnader i energieffektivitet, efterfrågan på energi och CO2-utsläpp från hushållar i hela EU. För det andra genomför vi ett omfattande beteendeexperiment i tre svenska städer för att undersöka hur och varför urbana hushåll svarar olika på energirelaterade politiska åtgärder (skatter, subventioner, byggnormer, informationskampanjer). Resultaten från undersökningen kommer att införlivas i analysen. Forskargruppen är tvärvetenskaplig inom teknik och ekonomi och förenar modelleringsverktyg från bägge discipliner. Jämförelsen av drivkrafter och effekter mellan olika länder och olika städer - i synnerhet när det gäller koldioxidskatten - är en av de innovativa aspekterna i projektet. En annan innovativ aspekt är att kombinera makroekonometriska modeller för analys av styrmedelseffekter med mikroekonometriska bottom-up modellansatser för energisparåtgärder, för att på så vis få en mer detaljerad kvantifiering av drivkrafter av energiefterfrågan i urbana hushåll och effekter av energirelaterade styrmedel.",7,11,NULL,(tom),(tom)
2016-00375,Strategier för hållbara leveranskedjor - vägen mot ett bärkraftigt fiske,"Medan den globala efterfrågan på skaldjur ökar globalt är de flesta marina fiskbestånd redan under starkt tryck eller maximalt utnyttjade. För att säkerställa fortsatt tillgång på marint protein för en växande världsbefolkning krävs en förändring i hur fisken anskaffas. Sk Fisheries Improvement Projects (FIP) arbetar med leverantörskedjor för att minska miljöpåverkan och åstadkomma en sådan förändring. Men trots den senaste tidens ökning av FIPs (~ 100 globalt idag) finns lite systematisk vetenskaplig utvärdering av deras process och påverkan. Vi har inlett ett samarbete med Sustainable Fisheries Partnership (SFP), en internationell organisation som var en av de första att lansera FIP-modellen i början av 2000-talet, för att adressera detta. Det ger oss en unik möjlighet att både få tillgång till data och samproducera forskning med en organisation i centrum av fiskeriförändringsprocesser, men också att sprida och implementera resultaten i pågående initiativ globalt.Vårt mål är att undersöka hur leveranskedjor kan bidra till hållbart fiske globalt. Vi gör det genom att: i) använda teorier från sk ’institutionellt entreprenörskap’ för att systematiskt analysera vilka strategier (genomförda av vilka aktörer i leveranskedjan) som leder till en mer hållbar användning av vilda marina resurser i specifika kulturella/politiska sammanhang, och med avseende på specifika ekologiska egenskaper av fiskeresursen ; och ii) för att förstå processen bakom vilka strategier aktörer på olika nivåer i leveranskedjan använder sig av för att uppnå ett hållbart fiske. Vi bygger också på forskning inom sk ’Supply Chain Management’ och integrerar fokus på sociala relationer för att (iii) undersöka vilka relationstyper, inom olika nivåer av leveranskedjan som är viktigast för att skapa incitament för varaktig förändring.Arbetet är uppdelat i tre komponenter, vardera med en metod som anpassats för den specifika frågeställningen. Samproduktion av forskning, spridning och genomförande av resultaten kommer att uppnås genom aktivt deltagande av branschpartners i kartläggningen av två fallstudier i den andra komponenten, samt genom en rad workshops under fjärde året med syfte att presentera fallspecifika resultat och diskutera hur dessa kan leda till ändrad praxis i vart och ett av fallen. En tredje workshop är samplanerad med SFP för att presentera brett tillämpbara resultat och diskutera hur dessa kan vara av betydelse i många FIPs världen över med representanter från FIPs globalt.",14,,NULL,(tom),(tom)
2016-00416,Förbättringspotential för klimatprediktion på säsongs- till decennieskala och samband mellan olika regioner - InterDec,  ,13,,NULL,(tom),(tom)
2016-00424,Hur kan vi förbättra prognostisering av skogsbränder och dessa ekologiska och socioekonomiska effekter genom multi-proxy data jämförelser,"Det finns en stor potential för att använda en stor mängd paleo- och dendrokronologiska rekonstruktioner för att förbättra förutsägbarheten av extrema väderförhållanden, såsom perioder av regionalt ökad brand aktivitet. Vi föreslår att gemensamma analyser av historiska proxies av skogsbränder (brandljud, kol i sjösediment) och havsströmmarna (havssediment) och klimat (träd ring och pollen kronologier), tillsammans med moderna klimat- och branduppgifter ska bidra till bättre förutsägbarhet av klimatförhållanden som är kopplade till skogsbränder. I projektet ska vi dra nytta av en stor överlappning mellan klimat- och brand proxies (över Holocene för paleodata och över århundraden för dendrokronologiska data), vilket förlänger avsevärt perioden med moderna instrumentala observationer (ca 50-100 år, beroende på region) samt förbättra statistiska analyser. Dessutom, vårt tillvägagångssätt ska ge en mer realistisk konvertering av klimatscenariot till parametrar av framtidens branddynamik samt en bättre separation mellan låg- och högfrekvens mönster i branddynamiken. Vi kommer att kvantifiera effekten av skogsbränder på samhället och utvärdera möjligheterna att lindra de negativa följderna av en brand aktivitet på de nationella och regionala ekonomier.",13,15,NULL,(tom),(tom)
