Dnr,Agenda_2030,VinnovaAnpassatDelm
2018-03487,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03599,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03603,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03613,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03631,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03635,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03712,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03713,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03714,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03716,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03725,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03726,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03728,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03738,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03806,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03818,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03826,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03843,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03845,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03930,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03946,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03952,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03954,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03971,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03972,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03977,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03979,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-03993,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04015,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04021,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04189,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04247,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04255,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04267,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04269,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04272,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04278,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04301,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04311,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04324,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04325,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04331,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04341,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04359,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04379,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04394,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04415,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04434,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04444,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04447,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04452,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04470,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04471,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04472,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04473,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04479,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04481,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04498,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04507,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04535,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04553,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04569,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04591,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04596,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04642,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04665,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04671,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04694,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04718,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04719,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04726,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04737,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04765,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04766,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04774,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04775,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04776,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04777,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04778,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04794,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04815,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04822,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04836,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04862,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04864,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04865,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04877,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04888,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04889,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04909,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04926,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04929,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04995,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-05276,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-02228,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-02891,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04606,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-04831,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-05012,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-05013,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-05033,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-05039,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-05077,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-05096,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-05166,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-05176,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-05186,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2018-05381,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-00104,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-00840,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-00862,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-01057,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-01115,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-01160,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-01187,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-01188,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-01296,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-01340,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-01362,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-01441,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-01932,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02059,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02063,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02074,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02084,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02088,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02108,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02118,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02121,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02125,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02149,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02164,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02233,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02241,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02246,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02371,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02382,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02522,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02539,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02546,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02607,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02620,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02631,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02639,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02640,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02646,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02754,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02760,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02762,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02791,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02815,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02819,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02886,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02910,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02941,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02950,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02965,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-02999,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-03000,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-03004,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-03008,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-03017,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-03025,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-03032,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-03068,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-03071,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-03076,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
2019-03082,"9 Hållbar industri, innovationer och infrastruktur","Stärka små och medelstora företags möjligheter till utveckling, förädling och försäljning genom tillgång till verktyg, tjänster och nätverk"
